place,date_created,text,hashtags,sentiment
Seattle,Wed Jan 14 19:24:25 +0000 2015,#WV Board of Ed votes to reverse inclusion of climate change-denial in science curriculum: http://t.co/HqE2DffJ6S,"[{'text': 'WV', 'indices': [0, 3]}]",1
Seattle,Wed Jan 14 16:25:37 +0000 2015,The US Senate is to vote on whether or not an objective reality exists outside their subjective experience. Really: http://t.co/TQJhTPuIy7,[],1
Seattle,Wed Jan 14 01:23:59 +0000 2015,@towerclimber37 I will leave that to the Discovery Channel: http://t.co/ogSp8eZu26,[],1
Seattle,Wed Jan 14 01:14:51 +0000 2015,#NAME?,[],1
Seattle,Wed Jan 14 01:11:56 +0000 2015,@rubikees More from @NOAA on ocean impacts of climate change: http://t.co/uCLMEGesAx @towerclimber37 @NASA,[],1
Seattle,Wed Jan 14 01:08:33 +0000 2015,"@towerclimber37 So as the climate changes, that proves @NASA is lying? Makes sense if lying means ""able to chart data from thermometers"".",[],1
Seattle,Wed Jan 14 00:59:40 +0000 2015,"Well...@NASA thinks you're wrong: http://t.co/UIJhXHrxIf
@towerclimber37 @rubikees http://t.co/qFnxllHvme",[],1
Seattle,Wed Jan 14 00:57:19 +0000 2015,@towerclimber37 And you also think the military is completely wrong on this? http://t.co/LRtJcHNarN,[],1
Seattle,Wed Jan 14 00:47:11 +0000 2015,@towerclimber37 If there's no climate change...why is the climate changing so much? And the quote? Came from the article you sourced.,[],1
Buffalo,Wed Jan 14 00:31:28 +0000 2015,#NAME?,[],1
Fremont,Tue Feb 03 15:10:03 +0000 2015,Punxsutawney Phil forced at gunpoint to see his own shadow by climate change deniers.,[],1
Seattle,Mon Mar 02 23:34:59 +0000 2015,#NAME?,[],1
Seattle,Mon Mar 02 22:14:10 +0000 2015,"The #EPA, not wanting to be left out, is caught #lying in #court. #NASA #MichaelMann #climate http://t.co/IUfkVxEXGe https://t.co/hsEXWgAvAU","[{'text': 'EPA', 'indices': [4, 8]}, {'text': 'lying', 'indices': [48, 54]}, {'text': 'court', 'indices': [58, 64]}, {'text': 'NASA', 'indices': [66, 71]}, {'text': 'MichaelMann', 'indices': [72, 84]}, {'text': 'climate', 'indices': [85, 93]}]",1
Providence,Mon Mar 02 15:04:33 +0000 2015,Protestors critical of Sen. Whitehouse’s stance on natural gas interrupt speech at Yale; call him 'climate clown.' http://t.co/DUpTy8u1kR,[],1
Seattle,Mon Mar 02 04:00:38 +0000 2015,"emissions, a Reuters/IPSOS poll has found. Article: http://t.co/lY4XFPBtrQ",[],1
Seattle,Mon Mar 02 04:00:01 +0000 2015,Significant majority of Americans say combating climate change is a moral issue that obligates them – &amp;d world leaders – to reduce carbon,[],1
Seattle,Wed Apr 08 21:59:34 +0000 2015,Wild swings of climate results in wild swings on the c-market #SCAASymposium http://t.co/FrNO10RUOO,"[{'text': 'SCAASymposium', 'indices': [62, 76]}]",1
Seattle,Wed Apr 08 17:31:53 +0000 2015,It's not too late to start acting against climate change -- #ClimateChange Discussion Panel @ #NEES2015,"[{'text': 'ClimateChange', 'indices': [60, 74]}, {'text': 'NEES2015', 'indices': [94, 103]}]",1
Seattle,Wed Apr 08 04:06:11 +0000 2015,"Decline in #glaciation
Rise in #icebergs
Bump in #ElectricCars
#ClimateChange related #ngrams https://t.co/1pSZ3qhITY http://t.co/6UcKmvsf7O","[{'text': 'glaciation', 'indices': [11, 22]}, {'text': 'icebergs', 'indices': [31, 40]}, {'text': 'ElectricCars', 'indices': [49, 62]}, {'text': 'ClimateChange', 'indices': [63, 77]}, {'text': 'ngrams', 'indices': [86, 93]}]",1
Seattle,Wed Apr 08 00:45:46 +0000 2015,"""As oil insecurity deepens, extraction risks of fossil fuels rise, &amp; concerns about climate instability cast a shadow over future of coal",[],1
Seattle,Fri May 01 16:51:37 +0000 2015,#NAME?,[],1
Seattle,Thu Jun 04 06:29:32 +0000 2015,http://t.co/jtSLuGWwTT http://t.co/axLpqnOLI7,[],1
Seattle,Thu Jun 04 02:00:19 +0000 2015,Are all these climate changes due to global warming? Not according to @CliffMass #CivicCocktail,"[{'text': 'CivicCocktail', 'indices': [81, 95]}]",-1
Seattle,Thu Jun 04 01:15:23 +0000 2015,.@GovInslee says public's perception of climate change has changed. Politics stayed the same.  #CivicCocktail,"[{'text': 'CivicCocktail', 'indices': [95, 109]}]",1
Seattle,Wed Jul 08 21:37:41 +0000 2015,"After judge's ruling, kids to meet w/WA Ecology chief re kids' lawsuit to curb climate change. @WesternLaw http://t.co/9UHGxcN4Ad @sejorg",[],1
